title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
Alquiler piso  en alquiler en plaça de les olles en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1400.0,75.0,18.67,1,,1900,True
"Alquiler piso en plaça de pau vila 13b piso amueblado con ascensor, parking, calefacción y aire acondicionado en Barcelona",Barcelona,St. Pere - Sta. Caterina - El Born,2100.0,60.0,35.0,1,,-1,True
Alquiler piso  de alquiler temporal de 3 habitaciones y terraza en nou barris en Barcelona,Barcelona,Porta,1690.0,85.0,19.88,3,,-1,False
Alquiler piso  en alquiler amueblado y de 4 habitaciones en vía laietana en Barcelona,Barcelona,Gòtic,3200.0,191.0,16.75,4,2,1890,True
"Alquiler piso en corts catalanes 692 espectacular, distribución perfecta en Barcelona",Barcelona,Dreta de l´Eixample,3300.0,188.0,17.55,4,2,-1,False
Alquiler dúplex  con 3 habitaciones amueblado con ascensor y calefacción en Barcelona,Barcelona,La Salut,2000.0,100.0,20.0,3,2,-1,False
Alquiler piso  en alquiler en carrer balmes en Barcelona,Barcelona,Sant Gervasi - Galvany,2500.0,111.0,22.52,3,2,1967,True
Alquiler piso  en alquiler recién reformado a estrenar en balmes ( sant gervasi) en Barcelona,Barcelona,Sant Gervasi - Galvany,1660.0,118.0,14.07,3,2,1960,True
"Alquiler piso en plaça de pau vila 13b piso con 2 habitaciones amueblado con ascensor, parking, calefacción y aire acondicionado en Barcelona",Barcelona,St. Pere - Sta. Caterina - El Born,2450.0,86.0,28.49,2,2,-1,True
Alquiler piso  en alquiler amueblado y reformado en vila olímpica en Barcelona,Barcelona,La Vila Olímpica del Poblenou,3000.0,109.0,27.52,3,2,2004,True
Alquiler piso en rambla de badal piso con 2 habitaciones amueblado con ascensor en Barcelona,Barcelona,La Bordeta,1790.0,55.0,32.55,2,,-1,False
"Alquiler piso  en alquiler en gran vía de les corts catalanes, eixample dreta en Barcelona",Barcelona,Dreta de l´Eixample,-1.0,238.0,,5,4,1975,True
"Alquiler piso  en alquiler de tres habitaciones, putxet en Barcelona",Barcelona,Putget - Farró,1950.0,103.0,18.93,3,2,1963,True
"Alquiler piso 2 habitaciones dobles, todo nuevo. en Barcelona",Barcelona,Prosperitat,800.0,45.0,17.78,2,,-1,False
Alquiler piso  en alquiler amueblado en Pedralbes en Barcelona,Barcelona,Pedralbes,3300.0,160.0,20.63,4,2,1982,True
Alquiler piso  de alquiler temporal de 2 habitaciones en Sants en Barcelona,Barcelona,Sants,1395.0,53.0,26.32,2,,-1,False
Alquiler piso  amueblado en alquiler en av josep tarradellas (sants) en Barcelona,Barcelona,La Nova Esquerra de l´Eixample,2250.0,124.0,18.15,3,3,1970,False
Alquiler piso en rambla de badal piso amueblado con ascensor en Barcelona,Barcelona,La Bordeta,1595.0,50.0,31.9,1,,-1,False
"Alquiler dúplex  con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,1900.0,78.0,24.36,1,2,-1,True
Alquiler piso  amueblado de dos habitaciones en gracia en Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,1490.0,55.0,27.09,2,,-1,True
Alquiler piso  de alquiler temporal de 2 habitaciones dobles en eixample en Barcelona,Barcelona,Fort Pienc,1650.0,77.0,21.43,2,,-1,True
Alquiler piso en plaça de kobe piso con 3 habitaciones amueblado con ascensor en Barcelona,Barcelona,La Sagrera,2140.0,98.0,21.84,3,2,-1,False
Alquiler piso en carrer de mallorca 114 estudio de dos habitaciones suites en Barcelona,Barcelona,La Nova Esquerra de l´Eixample,1400.0,65.0,21.54,2,2,1987,True
Alquiler dúplex en Gòtic Barcelona,Barcelona,Gòtic,1800.0,97.0,18.56,2,2,2006,True
"Alquiler piso  con 3 habitaciones con ascensor, parking y calefacción en Barcelona",Barcelona,Vila de Gràcia,2000.0,145.0,13.79,3,2,1977,True
Alquiler piso tres dormitorios cerca de les glòries en Barcelona,Barcelona,Fort Pienc,1375.0,70.0,19.64,3,,-1,False
Alquiler piso  de 2 hab. en la pl. reial en Gòtic Barcelona,Barcelona,Gòtic,1550.0,90.0,17.22,2,2,-1,True
Alquiler piso  reformado en Barri de les Corts Barcelona,Barcelona,Barri de les Corts,1500.0,90.0,16.67,1,,-1,True
Alquiler dúplex  de luxe a l'av. diagonal / balmes en Barcelona,Barcelona,Sant Gervasi - Galvany,3750.0,130.0,28.85,3,2,-1,True
Alquiler estudio en Gòtic Barcelona,Barcelona,Gòtic,1500.0,41.0,36.59,,,-1,True
Alquiler piso en Dreta de l´Eixample Barcelona,Barcelona,Dreta de l´Eixample,2800.0,100.0,28.0,2,2,-1,True
Alquiler piso en carrer de sardenya 498 piso a estrenar en Barcelona,Barcelona,Baix Guinardó,1600.0,78.0,20.51,2,2,-1,True
"Alquiler apartamento  con 4 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,3700.0,170.0,21.76,4,2,-1,True
Alquiler piso en La Sagrera Barcelona,Barcelona,La Sagrera,1450.0,125.0,11.6,3,2,2000,True
Alquiler piso suelos hidráulicos y techos altos en el mercat de Sant Antoni en Barcelona,Barcelona,Sant Antoni,1950.0,104.0,18.75,4,2,-1,False
Alquiler piso precioso piso en alquiler en sant pere-santa caterina-la ribera en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1120.0,53.0,21.13,1,,2009,False
Alquiler ático en Barri de les Corts Barcelona,Barcelona,Barri de les Corts,2400.0,147.0,16.33,2,,2011,True
Alquiler piso en Sant Ramon - Maternitat Barcelona,Barcelona,Sant Ramon - Maternitat,1300.0,65.0,20.0,1,,-1,True
"Alquiler piso  con 2 habitaciones amueblado con ascensor, parking, calefacción, aire acondicionado y vistas al mar en Barcelona",Barcelona,Diagonal Mar i el Front Marítim del Poblenou,2200.0,69.0,31.88,2,,2015,True
"Alquiler piso  con 2 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,2000.0,66.0,30.3,2,2,1926,True
Alquiler piso junto sarria multicines en Tres Torres Barcelona,Barcelona,Tres Torres,2900.0,198.0,14.65,4,2,2001,True
Alquiler piso  de 150 m2 en c. nau santa maria - av. diagonal en Barcelona,Barcelona,Barri de les Corts,2550.0,150.0,17.0,3,3,1988,True
"Alquiler piso vivienda con balcón, patio y parking. en Barcelona",Barcelona,Horta,1300.0,79.0,16.46,2,,1998,True
Alquiler piso en Gòtic Barcelona,Barcelona,Gòtic,1500.0,84.0,17.86,2,,-1,True
Alquiler piso en carrer de bertran 41 en Putget - Farró Barcelona,Barcelona,Putget - Farró,1400.0,60.0,23.33,1,,-1,True
"Alquiler estudio  en alquiler en el Raval, 3 habitaciones, 1 baño. en Barcelona",Barcelona,Raval,1400.0,120.0,11.67,3,,1900,False
Alquiler piso en carrer de craywinckel 27 piso con 4 habitaciones con ascensor en Barcelona,Barcelona,Putget - Farró,1650.0,106.0,15.57,4,2,1970,False
Alquiler apartamento  con 2 habitaciones amueblado con ascensor y aire acondicionado en Barcelona,Barcelona,Barceloneta,2700.0,85.0,31.76,2,2,-1,True
Alquiler piso en Poblenou Barcelona,Barcelona,Poblenou,1400.0,65.0,21.54,2,,1910,False
Alquiler apartamento  de 1 dormitorio en gràcia en Barcelona,Barcelona,Vila de Gràcia,2105.0,50.0,42.1,1,,-1,True
Alquiler apartamento  3 dormitorios en gràcia en Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,2115.0,80.0,26.44,3,2,-1,False
Alquiler piso  balmes - en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,2150.0,120.0,17.92,4,2,-1,True
Alquiler piso oportunidad vivienda de alquiler en l'eixample en Barcelona,Barcelona,Sant Antoni,1565.0,86.0,18.2,2,,1915,False
Alquiler piso  general mitre - en Sant Gervasi - Galvany Barcelona,Barcelona,Sant Gervasi - Galvany,2650.0,148.0,17.91,4,2,-1,True
Alquiler apartamento  en les corts en Sant Ramon - Maternitat Barcelona,Barcelona,Sant Ramon - Maternitat,850.0,33.0,25.76,1,,-1,False
"Alquiler piso ""cuatro dormitorios en Sant Antoni"" en Barcelona",Barcelona,Sant Antoni,1780.0,89.0,20.0,4,2,-1,False
Alquiler apartamento  amueblado con calefacción y aire acondicionado en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1400.0,75.0,18.67,1,,-1,True
Alquiler loft en dels ases 3 bonito loft en el corazón del born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1100.0,45.0,24.44,1,,1900,False
Alquiler piso luminosos ático a estrenar con dos terrazas muy bien orientado en Barcelona,Barcelona,Putget - Farró,1400.0,55.0,25.45,,,-1,True
Alquiler apartamento  con 2 habitaciones con piscina y aire acondicionado en Barcelona,Barcelona,Gòtic,3400.0,130.0,26.15,2,2,-1,True
Alquiler piso parking y trastero incluidos. en St. Pere - Sta. Caterina - El Born Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1300.0,50.0,26.0,1,,-1,True
Alquiler piso amplio y espacioso en Sants en Sants Barcelona,Barcelona,Sants,1400.0,82.0,17.07,3,2,-1,False
Alquiler apartamento hermoso apartamento de lujo en el puerto con terraza para 4 en Barcelona,Barcelona,Barceloneta,2500.0,70.0,35.71,,,-1,True
Alquiler apartamento  con 4 habitaciones amueblado con calefacción en Barcelona,Barcelona,Raval,1700.0,80.0,21.25,4,,-1,False
"Alquiler ático  con 3 habitaciones con ascensor, piscina, calefacción y aire acondicionado en Barcelona",Barcelona,Sant Gervasi - Galvany,6500.0,247.0,26.32,3,2,1939,True
Alquiler apartamento luminosos ático a estrenar con dos terrazas muy bien orientado en Barcelona,Barcelona,Putget - Farró,1400.0,55.0,25.45,1,,-1,True
Alquiler piso  general mitre - en Sant Gervasi - Galvany Barcelona,Barcelona,Sant Gervasi - Galvany,2350.0,148.0,15.88,4,2,-1,False
Alquiler estudio  en alquiler en el barri Gòtic en Barcelona,Barcelona,Gòtic,1400.0,42.0,33.33,,,-1,True
Alquiler apartamento  amueblado en Gòtic Barcelona,Barcelona,Gòtic,995.0,37.0,26.89,1,,-1,False
Alquiler piso en Congrés - Indians Barcelona,Barcelona,Congrés - Indians,1350.0,74.0,18.24,3,,1963,True
Alquiler dúplex en Vila de Gràcia Barcelona,Barcelona,Vila de Gràcia,1950.0,60.0,32.5,1,,-1,True
Alquiler ático  de 2 dormitorios y terraza en Sant Antoni en Barcelona,Barcelona,Sant Antoni,2875.0,134.0,21.46,2,2,-1,True
Alquiler piso reformat full equiped piso en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,1800.0,65.0,27.69,1,,-1,False
Alquiler piso  con 2 habitaciones con calefacción y aire acondicionado en Barcelona,Barcelona,La Nova Esquerra de l´Eixample,1500.0,82.0,18.29,2,,1917,True
Alquiler piso alquiler born en St. Pere - Sta. Caterina - El Born Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1800.0,105.0,17.14,2,,1790,False
"Alquiler piso gran piso amplio, alto y luminoso en diagonal-francesc macià en Barcelona",Barcelona,Sant Gervasi - Galvany,4500.0,188.0,23.94,3,2,1930,True
Alquiler piso  con 2 habitaciones amueblado con calefacción y aire acondicionado en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1750.0,83.0,21.08,2,2,-1,True
Alquiler piso junto plaza rei en Raval Barcelona,Barcelona,Raval,1200.0,65.0,18.46,2,,1890,True
Alquiler piso  con 4 habitaciones con ascensor y calefacción en Barcelona,Barcelona,Sant Gervasi - Galvany,4200.0,214.0,19.63,4,4,1969,True
Alquiler piso bonito piso en el born al lado del museo picasso disponible a partir del 1 de febrero 2024 en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1800.0,102.0,17.65,3,,1936,True
Alquiler ático atico espectacular en Tres Torres en Barcelona,Barcelona,Tres Torres,3290.0,239.0,13.77,5,2,1967,True
Alquiler piso en avinguda de madrid 110 piso de 3 habitaciones recién reformado en Barcelona,Barcelona,Sants-Badal,2203.0,65.0,33.89,3,,-1,True
Alquiler piso en calle de pau claris 99 piso luminoso con piscina paseo de gracia en Barcelona,Barcelona,Dreta de l´Eixample,2700.0,90.0,30.0,3,2,2001,True
Alquiler piso en carrer de rocafort 69 en Sant Antoni Barcelona,Barcelona,Sant Antoni,1450.0,70.0,20.71,2,2,1973,True
Alquiler piso céntrico y luminoso (eix dret) en Dreta de l´Eixample Barcelona,Barcelona,Dreta de l´Eixample,1550.0,75.0,20.67,3,,1963,False
Alquiler piso en camí de la verneda 14 piso con 3 habitaciones amueblado con ascensor en Barcelona,Barcelona,La Verneda - La Pau,1830.0,74.0,24.73,3,2,-1,False
Alquiler piso bonito piso recién reformado!! en Horta Barcelona,Barcelona,Horta,1150.0,72.0,15.97,3,,1980,False
Alquiler casa  reformada con jardín junto a avenida tibidabo en Barcelona,Barcelona,Sant Gervasi - Bonanova,15000.0,640.0,23.44,7,4,1936,True
Alquiler piso en carrer de guillem tell 24 en Putget - Farró Barcelona,Barcelona,Putget - Farró,1800.0,134.0,13.43,4,2,-1,True
Alquiler ático magnífico ático junto a plaza molina en Barcelona,Barcelona,Sant Gervasi - Galvany,2200.0,150.0,14.67,5,2,-1,True
Alquiler piso  con 2 habitaciones amueblado con ascensor y calefacción en Barcelona,Barcelona,Gòtic,1600.0,80.0,20.0,2,,-1,False
Not found,Not found,Not found,-1.0,,,,,-1,False
Alquiler piso fantastico piso reformado en calle comtal en Barcelona,Barcelona,Gòtic,2000.0,152.0,13.16,3,2,-1,True
Alquiler piso en carrer de ferran 25 en Gòtic Barcelona,Barcelona,Gòtic,1250.0,65.0,19.23,1,,-1,False
Alquiler piso en calle de pau claris 99 piso luminoso con piscina paseo de gracia en Barcelona,Barcelona,Dreta de l´Eixample,2300.0,75.0,30.67,2,,2001,True
Alquiler ático atico con terraza de 25 m2 en rambla guipuscoa junto parque de clot de la mel! en Barcelona,Barcelona,El Clot,1200.0,65.0,18.46,2,,1968,True
Alquiler piso espectacular piso amueblado con piscina cubierta y spa en diagonal mar en Barcelona,Barcelona,Vila de Gràcia,4900.0,98.0,50.0,2,2,-1,True
"Alquiler piso amueblado, listo para estrenar en Dreta de l´Eixample Barcelona",Barcelona,Dreta de l´Eixample,3200.0,101.0,31.68,3,2,1968,True
"Alquiler casa en d'olèrdola 2 casa con 4 habitaciones con calefacción, aire acondicionado y vistas a la montaña en Barcelona",Barcelona,Vallcarca - Penitents,2600.0,228.0,11.4,4,2,1970,True
Alquiler piso spacious renovated amazing with balconies near beach center en Barcelona,Barcelona,El Poble Sec - Parc de Montjuïc,2990.0,143.0,20.91,3,3,1900,True
Alquiler piso gran piso nuevo todo exterior en La Bordeta Barcelona,Barcelona,La Bordeta,1800.0,95.0,18.95,3,2,2008,True
"Alquiler piso en carrer de balmes 329 vivienda totalmente reformada a estrenar, con aire acondicionado y parquet. en Barcelona",Barcelona,Putget - Farró,1650.0,99.0,16.67,3,2,1961,True
Alquiler piso en carrer de balmes 329 vivienda totalmente reformada. con parquet - con aire acondicionado. en Barcelona,Barcelona,Sant Gervasi - Galvany,1650.0,99.0,16.67,3,2,1961,True
Alquiler piso  en Sants Barcelona,Barcelona,Sants,1200.0,40.0,30.0,,,-1,False
Alquiler piso  con 4 habitaciones con ascensor en Barcelona,Barcelona,La Nova Esquerra de l´Eixample,2200.0,122.0,18.03,4,2,1992,False
Alquiler piso en carrer de gravina 8 piso luminoso con 5 balcones en centro en Barcelona,Barcelona,Raval,2850.0,90.0,31.67,2,2,1890,True
Alquiler piso en carrer d'aragó 406 piso a estrenar en Barcelona,Barcelona,Dreta de l´Eixample,1950.0,90.0,21.67,3,2,1980,True
Alquiler piso  2 habitaciones 37 metros a 70 metros playa en Barcelona,Barcelona,Barceloneta,850.0,37.0,22.97,2,,1950,False
Alquiler piso ataulf en Gòtic Barcelona,Barcelona,Gòtic,2000.0,150.0,13.33,4,2,-1,False
Alquiler casa en avinguda de vallcarca 209 zona comuntaria. piscina en Barcelona,Barcelona,Vallcarca - Penitents,1490.0,80.0,18.63,3,2,-1,True
Alquiler piso poblenou 3h+2 baños+ piscina+parking en Barcelona,Barcelona,Provençals del Poblenou,1700.0,95.0,17.89,3,2,2008,True
Alquiler piso exterior y tranquilo. amueblado en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,1525.0,40.0,38.13,1,,-1,False
Alquiler loft  en Raval Barcelona,Barcelona,Raval,700.0,20.0,35.0,,,-1,False
"Alquiler piso alquiler temporal, piso nuevo a estrenar!!! en Barcelona",Barcelona,Gòtic,1600.0,75.0,21.33,2,,-1,True
Alquiler piso  en Putget - Farró Barcelona,Barcelona,Putget - Farró,1450.0,61.0,23.77,,,-1,False
Alquiler piso finca regia Sant Antoni en Sant Antoni Barcelona,Barcelona,Sant Antoni,1600.0,63.0,25.4,2,,-1,True
"Alquiler piso en alquiler , con 35 m2, 1 habitaciones y 1 baños y amueblado. en Barcelona",Barcelona,Barceloneta,950.0,35.0,27.14,1,,-1,False
Alquiler piso  en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,2000.0,130.0,15.38,,,-1,True
Alquiler piso en avinguda diagonal 580 piso con 4 habitaciones con ascensor y calefacción en Barcelona,Barcelona,Sant Gervasi - Galvany,4300.0,200.0,21.5,4,2,1930,False
Alquiler piso  de 3 habitaciones con terraza de 42m² en Barcelona,Barcelona,Sant Gervasi - Galvany,2350.0,122.0,19.26,3,2,1965,False
Alquiler piso  con 6 habitaciones con ascensor y calefacción en Barcelona,Barcelona,El Parc i la Llacuna del Poblenou,1750.0,150.0,11.67,6,2,1970,False
Alquiler piso 3 dormitorios con parking en Tres Torres Barcelona,Barcelona,Tres Torres,3000.0,128.0,23.44,3,2,2000,True
"Alquiler piso  con 2 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,2400.0,70.0,34.29,2,,-1,True
Not found,Not found,Not found,-1.0,,,,,-1,False
Alquiler apartamento en passatge de valeri serra 3 wonderfulold style heart of city en Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,1800.0,60.0,30.0,1,2,-1,True
Alquiler piso en Sant Gervasi - Galvany Barcelona,Barcelona,Sant Gervasi - Galvany,4900.0,350.0,14.0,5,4,1970,True
Alquiler piso en carrer d'en roca 18 junto al mercado de la boqueria en Barcelona,Barcelona,Gòtic,950.0,48.0,19.79,2,,1900,True
"Alquiler ático  con 3 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,2900.0,150.0,19.33,3,2,1900,True
"Alquiler piso reformado , dos habitaciones dobles junto sagrada familia en Barcelona",Barcelona,Sagrada Família,1300.0,60.0,21.67,2,,-1,True
Alquiler piso **alquiler temporal máximo 3 meses** en Barcelona,Barcelona,Raval,1000.0,55.0,18.18,1,,1900,True
Alquiler piso  amplio y luminoso en diagonal-francesc macià en Barcelona,Barcelona,Sant Gervasi - Galvany,3000.0,191.0,15.71,4,2,1930,False
Alquiler piso lujoso piso en el centro totalmente equipado y con vistas en Barcelona,Barcelona,Dreta de l´Eixample,2800.0,85.0,32.94,2,2,2001,True
Alquiler piso en Sarrià Barcelona,Barcelona,Sarrià,3500.0,160.0,21.88,4,4,1974,True
Alquiler piso  en baix guinardo en El Camp d´en Grassot i Gràcia Nova Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,1650.0,80.0,20.63,3,2,-1,True
Alquiler ático elegante ático en el corazón con espectacular terraza en Barcelona,Barcelona,Dreta de l´Eixample,2400.0,56.0,42.86,2,,1925,True
"Alquiler apartamento  con 2 habitaciones con ascensor, parking, calefacción y aire acondicionado en Barcelona",Barcelona,La Vila Olímpica del Poblenou,1800.0,60.0,30.0,2,2,2004,True
"Alquiler piso  reformado , tres dormitorios , en gracia en Barcelona",Barcelona,Vila de Gràcia,1400.0,70.0,20.0,3,,1960,False
Alquiler piso en avinguda diagonal 367 piso con 3 habitaciones con ascensor en Barcelona,Barcelona,Dreta de l´Eixample,2300.0,124.0,18.55,3,2,-1,False
Alquiler piso gran piso con mucha luz en última planta de finca catalogada diagonal - francesc macià en Barcelona,Barcelona,Sant Gervasi - Galvany,3000.0,188.0,15.96,5,3,1930,False
"Alquiler apartamento elegante, acogedor y con balcón en Barcelona",Barcelona,St. Pere - Sta. Caterina - El Born,1950.0,80.0,24.38,1,,2009,True
Alquiler chalet lujosa villa de diseño con gran parcela y piscina privada en vallvidrera en Barcelona,Barcelona,Vallvidrera - Tibidabo - Les Planes,20000.0,611.0,32.73,10,9,2014,True
Alquiler piso en Putget - Farró Barcelona,Barcelona,Putget - Farró,1900.0,92.0,20.65,3,2,1960,True
"Alquiler piso  en alquiler en calle consell de cent, , en Barcelona",Barcelona,La Nova Esquerra de l´Eixample,1800.0,116.0,15.52,3,,1963,False
Alquiler piso  con 3 habitaciones amueblado con ascensor y calefacción en Barcelona,Barcelona,Sant Gervasi - Galvany,6500.0,170.0,38.24,3,3,1935,True
Alquiler piso en Trinitat Nova Barcelona,Barcelona,Trinitat Nova,950.0,50.0,19.0,1,,2008,True
Alquiler tríplex en carrer de móra d'ebre 50 triplex de diseño amueblado para entrar. en Barcelona,Barcelona,El Coll,2000.0,170.0,11.76,3,4,2006,True
"Alquiler piso alquiler de temporada. máximo 11 meses. reformado, amueblado y equipado. 2 habitaciones. eixample esquerra. en Barcelona",Barcelona,La Nova Esquerra de l´Eixample,1600.0,65.0,24.62,2,,1970,True
Alquiler piso  de 3hab en les corts en Barri de les Corts Barcelona,Barcelona,Barri de les Corts,1800.0,90.0,20.0,3,2,1972,False
Alquiler piso  con 3 habitaciones amueblado en Barcelona,Barcelona,Sarrià,2300.0,75.0,30.67,3,,-1,False
Alquiler ático  con 2 habitaciones amueblado con ascensor y aire acondicionado en Barcelona,Barcelona,Raval,1300.0,55.0,23.64,2,,-1,True
Alquiler piso  totalmente reformado cerca de paseo de gracia en Barcelona,Barcelona,Dreta de l´Eixample,2900.0,178.0,16.29,5,3,-1,True
Not found,Not found,Not found,-1.0,,,,,-1,False
Alquiler piso excelente ventilación y luminoso en Barcelona,Barcelona,Guinardó,690.0,78.0,8.85,2,,1950,False
"Alquiler piso en avinguda meridiana 326 alquiler temporal, amueblado, 3 habitaciones en Barcelona",Barcelona,La Sagrera,1500.0,85.0,17.65,3,,1972,True
Alquiler apartamento en carrer merce ático con terraza y jacuzzi en Barcelona,Barcelona,Gòtic,25000.0,230.0,108.7,3,3,2022,True
Alquiler piso  amueblado en el barrio del putxet. en Barcelona,Barcelona,Putget - Farró,1200.0,40.0,30.0,1,,1978,False
Alquiler piso  totalmente reformado cerca de paseo de gracia en Barcelona,Barcelona,Dreta de l´Eixample,2600.0,153.0,16.99,5,2,-1,True
Alquiler piso vivienda 2hab. exterior -. con muebles y electrodomésticos en Barcelona,Barcelona,Sant Martí de Provençals,1370.0,75.0,18.27,2,,1993,False
Alquiler piso en carrer de sugranyes 43 piso 2 habitaciones amueblado en barrio sants en Barcelona,Barcelona,Sants-Badal,1250.0,80.0,15.63,2,,1969,True
Alquiler piso increíble apartamento de 110m2 en Fort Pienc Barcelona,Barcelona,Fort Pienc,1950.0,110.0,17.73,3,2,1960,True
"Alquiler piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Sant Gervasi - Galvany,2500.0,115.0,21.74,3,2,2023,True
Alquiler apartamento en carrer de la legalitat 93 luminoso apartamento en gracia en Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,1100.0,48.0,22.92,1,,1995,False
Alquiler loft  con calefacción y aire acondicionado en Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,2200.0,175.0,12.57,1,2,1900,True
Alquiler piso en plaça font d'en fargas 39 sin amueblar en Barcelona,Barcelona,La Font d´en Fargues,1500.0,94.0,15.96,3,2,2005,True
Alquiler loft  con ascensor y aire acondicionado en Barcelona,Barcelona,Poblenou,2200.0,100.0,22.0,1,2,1960,True
Alquiler piso  muy luminoso en les corts en Sant Ramon - Maternitat Barcelona,Barcelona,Sant Ramon - Maternitat,1400.0,90.0,15.56,4,2,1964,True
"Alquiler piso  con 4 habitaciones con ascensor, calefacción, vistas al mar y vistas a la montaña en Barcelona",Barcelona,Vallvidrera - Tibidabo - Les Planes,2000.0,140.0,14.29,4,2,-1,False
Alquiler piso  amueblado a 5 minutos andando de plaza catalunya. en Barcelona,Barcelona,Raval,1275.0,65.0,19.62,2,,1936,True
Alquiler piso ático de alquiler temporal en passeig de montjuic en Barcelona,Barcelona,El Poble Sec - Parc de Montjuïc,1860.0,45.0,41.33,1,2,-1,False
"Alquiler piso en paseo gracia 125 piso con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Vila de Gràcia,1814.0,58.0,31.28,1,,2020,True
"Alquiler piso en paseo gracia 125 piso con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Vila de Gràcia,2664.0,69.0,38.61,1,,2020,True
